census region,technology,air conditioning type,year,housing types,value
66,42,63,2009,28,21300835.0665
66,42,63,2009,29,2038202.28037
66,42,63,2009,30,887038.134236
66,44,63,2009,28,809271.186984
66,44,63,2009,29,159824.174678
66,44,63,2009,30,0.0
66,45,63,2009,28,302744.478708
66,45,63,2009,29,0.0
66,45,63,2009,30,0.0
66,72,63,2009,28,0.0
66,72,63,2009,29,442395.32713
66,72,63,2009,30,0.0
66,73,64,2009,28,8062061.2608
66,73,64,2009,29,6753081.29683
66,73,64,2009,30,108985.340934
67,42,63,2009,28,54149126.3558
67,42,63,2009,29,4532897.67712
67,42,63,2009,30,1573820.753
67,44,63,2009,28,1262273.89689
67,44,63,2009,29,71096.5929564
67,44,63,2009,30,36288.6207295
67,45,63,2009,28,733268.304723
67,45,63,2009,29,0.0
67,45,63,2009,30,0.0
67,72,63,2009,28,955093.590946
67,72,63,2009,29,107785.832109
67,72,63,2009,30,0.0
67,73,64,2009,28,5564909.72252
67,73,64,2009,29,2541614.04386
67,73,64,2009,30,339482.662957
68,42,63,2009,28,281304694.298
68,42,63,2009,29,36968702.6822
68,42,63,2009,30,16951318.4871
68,44,63,2009,28,72779765.9365
68,44,63,2009,29,5130245.31187
68,44,63,2009,30,6574993.70653
68,45,63,2009,28,2828153.4555
68,45,63,2009,29,0.0
68,45,63,2009,30,0.0
68,72,63,2009,28,12167538.0924
68,72,63,2009,29,1215600.162
68,72,63,2009,30,0.0
68,73,64,2009,28,27418554.2127
68,73,64,2009,29,4364952.61304
68,73,64,2009,30,9042128.66631
69,42,63,2009,28,65876968.7757
69,42,63,2009,29,8575687.42725
69,42,63,2009,30,2356749.38986
69,44,63,2009,28,8827896.48834
69,44,63,2009,29,531687.530431
69,44,63,2009,30,1331960.95422
69,45,63,2009,28,556514.710164
69,45,63,2009,29,0.0
69,45,63,2009,30,0.0
69,72,63,2009,28,4099180.45341
69,72,63,2009,29,368080.183954
69,72,63,2009,30,0.0
69,73,64,2009,28,4248739.14988
69,73,64,2009,29,1726397.31013
69,73,64,2009,30,1618701.49222
