supply_tech_id,gau,resource_bin,vintage,value,id
32,us,,2015,0.9,1
40,us,,2015,0.9,2
31,us,,2015,0.9,3
110,us,,2015,0.9,4
111,us,,2015,0.9,5
112,us,,2015,0.9,6
113,us,,2015,0.9,7
114,us,,2015,0.9,8
115,us,,2015,0.9,9
151,us,,2015,0.9,11
152,us,,2015,0.9,12
153,us,,2015,0.9,13
154,us,,2015,0.9,14
155,us,,2015,0.9,15
156,us,,2015,0.9,16
157,us,,2015,0.9,17
158,us,,2015,0.9,18
159,us,,2015,0.9,19
161,us,,2015,0.9,20
162,us,,2015,0.9,21
167,us,,2015,0.9,22
168,us,,2015,0.9,23
169,us,,2015,0.9,24
170,us,,2015,0.9,25
171,us,,2015,0.9,26
172,us,,2015,0.9,27
173,us,,2015,0.9,28
82,us,,2015,0.9,29
